,title,heading,content,tokens
15,Fusion development in Power Platform,Personas for fusion development,"Bellow you can find the personas and the definition in a fusion team:

| Persona | Description |
| ---- | ---- | 
| Citizen developer or maker | A business user with business knowledge looking for ways to improve a business process. Use visual, drag and drop and low code tools. Usually don't have a technical background. |
| Professional developer or code-first developer | Pro devs use pro dev tools to accomplish pro dev tasks. For example, write code in Visual Studio or Visual Studio Code using programming languages like C# or JavaScript. |
| IT professional or DevOps engineer | An IT professional responsible for the application lifecycle management (ALM) of business applications. |

> [!IMPORTANT]
> Our goal is to empower diverse groups of people with different skill sets and boost velocity by scaling solution development through low-code. The Microsoft Power Platform is a tool in your tool set. We want to help you work more efficiently and focus on tasks that match your desired skill level.

Empowering citizen developer can enable pro developers to focus on specialized problems, avoiding simple and repetitive tasks that can be performed by the citizen developer.",243
16,Fusion development in Power Platform,Collaboration,"Power Platform is designed to empower fusion teams allowing three key audiences to come together.

![[Fusion team.](media/fusion-team.png ""Fusion team"")](media/fusion-team.png ""Fusion team"")

> [!TIP]
> Low-code and pro-dev tools should integrate smoothly to enable different groups of people to work together effectively.

The role of the professional developer and IT professional is to create a secure and governed environment where citizen developer can be empowered to achieve more with minimum friction. Everyone should use citizen maker tools to accomplish citizen maker tasks. For example, pro devs use same visual tooling as citizen makers when creating apps on Power Platform.",148
17,Introduction to Microsoft Power Platform for developers,Summary,"Microsoft Power Platform is a low-code platform for rapidly building customized end-to-end business solutions. It consists of five product areas: Power Apps, Power Automate, Power BI, Power Virtual Agents, and Power Pages. Each area can be used individually or together. United by the underlying Microsoft Dataverse technology, all areas are designed for a connected experience to achieve your business goals, whether it's creating analytics, process automation, or data-driven productivity applications.

The platform's low-code approach enables everyone in an organization&mdash;from frontline workers to professional developers&mdash;to participate in the development of business solutions that drive positive business outcomes. Developers can collaborate with citizen developers to enhance business solutions and solve complex requirements by using the platform's various extension capabilities with code. Thanks to a native integration with Azure, developers can use their cloud development skills to extend Microsoft Power Platform with different Azure services. With a low-code integrated development approach, business goals can be achieved faster and frees up time for the developers.",210
18,Introduction to Microsoft Power Platform for developers,Power Apps ,Apps created with Power Apps can be shared with internal users and can be run in a browser or on a mobile device. You can create following types of apps: canvas and model-driven.,38
19,Introduction to Microsoft Power Platform for developers,Canvas apps,"Provides the Power Apps maker with complete control over the pixel-perfect screen contents and navigation between multiple screens. Canvas applications use different connectors to work with data and services. Canvas applications can be embedded into SharePoint, Teams, Power BI, and Dynamics 365 applications.",55
20,Introduction to Microsoft Power Platform for developers,Canvas apps- Key developer extensibility points,"> - Build custom UI components using [Power Apps component framework](/power-apps/developer/component-framework/overview)
> - Create [custom connectors](/connectors/custom-connectors/) to communicate to your external data sources and services. A custom connector is a wrapper around a REST API and can be created using tools like Azure Functions and Azure API Management",78
21,Introduction to Microsoft Power Platform for developers,Model-driven apps  ,Data-driven applications that are built on top of [Microsoft Dataverse](#dataverse). Other data sources and services can be used by model-driven applications by embedding a canvas application.,39
22,Introduction to Microsoft Power Platform for developers,Model-driven apps-Key developer extensibility points,"> - Build custom UI components using [Power Apps component framework](/power-apps/developer/component-framework/overview)
> - Implement client business logic using [JavaScript and the client API](/power-apps/developer/model-driven-apps/client-scripting)
> - Build [HTML web resources](/power-apps/developer/model-driven-apps/webpage-html-web-resources)",95
23,Introduction to Microsoft Power Platform for developers,Power Automate,"Power Automate is used to automate tasks and orchestrate activities across various services that use integrated or custom connectors. Using Power Automate you can create cloud flows or desktop flows.

| Type | Description |
| ---- | ---- |
| **Cloud flows** | Can be triggered manually, configured to run when specific events occur, such as when a record is created, or scheduled to run at a specific time. Power Automate is built on top of Azure Logic Apps but offers unique integration with Microsoft Power Platform. |
| **Desktop flows** | Used to automate repetitive interactive tasks on the web or the desktop. |",127
24,Introduction to Microsoft Power Platform for developers,Power Automate-Key developer extensibility points,"> - Create [custom connectors](/connectors/custom-connectors/) to communicate to your external data sources and services. A custom connector is a wrapper around a REST API and can be created using tools like Azure Functions and Azure API Management
> - Use [workflow definition functions](/power-automate/developer/custom-cds-for-apps-workflow-activities) to build complex expressions",88
25,Introduction to Microsoft Power Platform for developers,Power BI,Power BI is Microsoft's business analytics solution that provides interactive data visualization BI tools to help users visualize and share data and insights across their organization.,28
26,Introduction to Microsoft Power Platform for developers,Power BI-Key developer extensibility points,"> - Embed Power BI in apps, websites, and portals
> - Create [custom visuals](/power-bi/developer/visuals/power-bi-custom-visuals) using the open-source SDK",47
27,Introduction to Microsoft Power Platform for developers,Power Pages,"Power Pages is a secure, enterprise-grade, low-code software as a service (SaaS) platform for creating, hosting, and administering modern external-facing business websites. Low-code makers can rapidly design, configure, and publish websites that seamlessly work across web browsers and devices. Professional developers can extend these capabilities to address advanced business requirements.",71
28,Introduction to Microsoft Power Platform for developers,Power Pages-Key developer extensibility points,"> - Custom web page templates built with HTML, CSS, and [Liquid](/power-pages/configure/liquid-overview)
> - Extend site integration with Dataverse with the [portals Web API](/power-pages/configure/web-api-overview)
> - [Use Visual Studio Code and the Power Platform CLI](/power-pages/configure/cli-tutorial) to enable metadata editing and CI/CD (Continuous Integration/Continuous Deployment) of site configurations",109
29,Introduction to Microsoft Power Platform for developers,Power Virtual Agents,"Power Virtual Agents lets you create powerful chatbots that can answer questions from your customers, other employees, or visitors to your website or service. Power Virtual Agents is built on Microsoft Bot Framework and provides a low-code experience to build and manage chatbots.",51
30,Introduction to Microsoft Power Platform for developers,Power Virtual Agents-Key developer extensibility points,"> - Build Bot Framework Skills
> - Extend your bots with [Bot Framework Composer](/power-virtual-agents/advanced-bot-framework-composer)",37
31,Introduction to Microsoft Power Platform for developers,Dataverse,"Dataverse is a cloud scale data store that builds on Microsoft's data technologies and abstracts away data management complexity from the app maker. It lets you securely store and manage data that is used by business applications. Business data within Dataverse is stored within a set of data tables. Role-based security allows businesses to control access to the data tables and even individual records for different users within your organization. Developers can extend or customize Dataverse functionality by adding custom business logic. You can define calculated table columns, business rules, workflows, and business process flows to ensure data quality and drive business processes.",120
32,Introduction to Microsoft Power Platform for developers,Dataverse-Key developer extensibility points,"> - Create [plug-ins](/power-apps/developer/data-platform/plug-ins), similar to event handlers, that customize or extend Dataverse data processing with custom business logic (code)
> - Use [webhooks and Azure Service Bus](/power-apps/developer/data-platform/use-webhooks) to integrate with external systems
> - Extend the Dataverse API with your own [custom API](/power-apps/developer/data-platform/custom-api) that implements your business logic
> - Use [virtual tables](/power-apps/developer/data-platform/virtual-entities/get-started-ve) to integrate data stored in external systems into Dataverse without replicating the data",162
